ID,Fecha,Latitud,Longitud,Departamento,Provincia,Distrito
SLIP-56,7/04/2017,-9.229485,-77.622655,ANCASH,CARHUAZ,SHILLA
SLIP-57,7/04/2017,-9.214863,-77.69434,ANCASH,YUNGAY,SHUPLUY
SLIP-58,7/01/2019,-10.261915,-74.974522,PASCO,OXAPAMPA,PUERTO BERMUDEZ
SLIP-59,7/02/2019,-5.163109,-78.287655,AMAZONAS,BAGUA,IMAZA
SLIP-60,26/11/2018,-6.434889,-77.354395,AMAZONAS,RODRIGUEZ DE MENDOZA,OMIA
SLIP-61,15/02/2019,-6.561782,-76.104496,SAN MARTIN,SAN MARTIN,CHAZUTA
SLIP-62,7/02/2019,-6.241771,-77.729041,AMAZONAS,CHACHAPOYAS,SAN FRANCISCO DE DAGUAS
SLIP-63,14/02/2019,-15.13535,-72.765982,AREQUIPA,LA UNION,ALCA
SLIP-64,7/02/2019,-15.9009,-73.044126,AREQUIPA,CONDESUYOS,RIO GRANDE
SLIP-65,22/02/2018,-10.332484,-76.179123,HUANUCO,AMBO,SAN RAFAEL
SLIP-66,15/01/2019,-10.33684,-76.183196,HUANUCO,AMBO,SAN RAFAEL
SLIP-67,7/02/2019,-16.074473,-72.494044,AREQUIPA,CASTILLA,APLAO
SLIP-68,6/02/2019,-16.556198,-71.443771,AREQUIPA,AREQUIPA,QUEQUEÑA
SLIP-69,16/02/2019,-13.002686,-74.722876,HUANCAVELICA,ANGARAES,LIRCAY
SLIP-70,16/11/2018,-9.786162,-75.998298,HUANUCO,HUANUCO,SAN PABLO DE PILLAO
SLIP-71,27/01/2019,-17.882873,-70.140539,TACNA,TACNA,PACHIA
SLIP-72,28/01/2019,-5.940012,-77.974062,AMAZONAS,BONGARA,JAZAN
SLIP-73,28/01/2019,-11.455124,-76.618715,LIMA,CANTA,CANTA
SLIP-74,12/10/2018,-13.122958,-72.977531,CUSCO,LA CONVENCION,VILCABAMBA
SLIP-75,18/02/2019,-12.765522,-74.845949,HUANCAVELICA,HUANCAVELICA,YAULI
SLIP-76,2/03/2017,-11.151437,-74.238483,JUNIN,SATIPO,RIO TAMBO
SLIP-77,6/01/2015,-12.231964,-74.906832,HUANCAVELICA,TAYACAJA,PICHOS
SLIP-78,7/12/2014,-13.191385,-74.211374,AYACUCHO,HUAMANGA,SAN JUAN BAUTISTA
SLIP-79,10/10/2014,-12.710537,-72.058667,CUSCO,CALCA,YANATILE
SLIP-80,25/10/2014,-5.813106,-77.51754,SAN MARTIN,RIOJA,PARDO MIGUEL
SLIP-81,3/04/2018,-12.830826,-72.140693,CUSCO,CALCA,YANATILE
SLIP-82,7/03/2018,-12.612456,-73.113036,CUSCO,LA CONVENCION,ECHARATE
SLIP-83,26/03/2018,-12.688146,-72.258209,CUSCO,CALCA,YANATILE
SLIP-84,9/12/2018,-7.870945,-76.67946,SAN MARTIN,TOCACHE,POLVORA
SLIP-85,13/11/2018,-10.480081,-75.56864,PASCO,OXAPAMPA,HUANCABAMBA
SLIP-86,4/11/2018,-9.374291,-77.147589,ANCASH,HUARI,CAJAY
SLIP-87,1/05/2018,-10.940325,-75.203728,JUNIN,CHANCHAMAYO,PERENE
SLIP-88,29/03/2018,-9.364966,-77.5844,ANCASH,CARHUAZ,PARIAHUANCA
SLIP-89,27/03/2018,-10.544734,-77.114484,LIMA,CAJATAMBO,HUANCAPON
SLIP-90,27/03/2018,-10.771441,-75.149855,JUNIN,CHANCHAMAYO,PERENE
SLIP-91,26/03/2018,-13.605984,-73.74412,APURIMAC,CHINCHEROS,COCHARCAS
SLIP-92,25/03/2018,-13.536693,-74.748167,AYACUCHO,CANGALLO,PARAS
SLIP-93,23/03/2018,-12.158532,-75.265483,JUNIN,HUANCAYO,CHUPURO
SLIP-94,16/03/2018,-14.32161,-69.466119,PUNO,SANDIA,SANDIA
SLIP-95,25/02/2019,-11.954312,-76.746446,LIMA,LIMA,LURIGANCHO
SLIP-96,25/02/2019,-11.994738,-76.816205,LIMA,LIMA,CHACLACAYO
SLIP-97,25/02/2019,-11.989233,-76.796483,LIMA,LIMA,CHACLACAYO
SLIP-98,25/02/2019,-11.986935,-76.779477,LIMA,LIMA,CHACLACAYO
SLIP-99,25/02/2019,-11.984598,-76.77125,LIMA,LIMA,CHACLACAYO
SLIP-100,25/02/2019,-11.98201,-76.743502,LIMA,LIMA,CHACLACAYO
SLIP-101,25/02/2019,-11.945406,-76.731636,LIMA,LIMA,LURIGANCHO
SLIP-102,25/02/2019,-11.951613,-76.930498,LIMA,LIMA,LURIGANCHO
SLIP-103,25/02/2019,-11.970035,-76.924418,LIMA,LIMA,LURIGANCHO
SLIP-104,23/02/2019,-13.740759,-75.228153,HUANCAVELICA,HUAYTARA,SANTO DOMINGO DE CAPILLAS
SLIP-105,25/02/2019,-13.693602,-73.112665,APURIMAC,ANDAHUAYLAS,KISHUARA
SLIP-106,23/01/2018,-12.416862,-74.860081,HUANCAVELICA,TAYACAJA,PAMPAS
SLIP-107,23/01/2018,-15.756008,-72.919222,AREQUIPA,CONDESUYOS,YANAQUIHUA
SLIP-108,23/01/2018,-15.235152,-73.421204,AYACUCHO,PAUCAR DEL SARA SARA,PARARCA
SLIP-109,18/01/2018,-9.571806,-76.419946,HUANUCO,DOS DE MAYO,MARIAS
SLIP-110,15/01/2018,-13.083989,-72.646506,CUSCO,LA CONVENCION,SANTA TERESA
